sample,type,system,station,season,date,time,month,year,vol,d_vol,flushing,precip,pCO2,TA,TA_cat,PR,BR,BR.PR,TP,TN,N.P,DOC,pH,DO_sat,DO,temp,chla,secchi,zeu,depth,d_depth,Zeu.depth
7,Humid,Extremoz,P2,Dry,13-Jan,9:40:00 AM,January,2013,6568157,-1068875,,6.7,2195.13,0.78,< 1 meq/L,,,,2.37,0.49,208.59,0.45,7.4,,,31.1,6.5,1.7,2.5,2.5,0,1.9
8,Humid,Extremoz,P2,Rain,13-Feb,11:30:00 AM,February,2013,6194948,-373209,,61.2,40020.25,1.75,> 1 meq/L,64.31,65.91,1.02,2.04,0.44,214.93,0.51,6.5,,,31.5,8.58,1.8,2.3,2.3,-0.2,2.19
9,Humid,Extremoz,P2,Rain,13-Mar,9:45:00 AM,March,2013,5430421,-764527,,27,411.88,1.11,> 1 meq/L,11.42,8.46,0.74,25.4,0.69,27.27,598,8.3,,,32,8.58,1.08,2.1,2.1,-0.2,1.44
10,Humid,Extremoz,P2,Rain,13-Apr,9:10:00 AM,April,2013,4840000,-590421,,158.6,7513.83,1.62,> 1 meq/L,3.31,,,34.8,0.92,26.42,413,7.2,,,31.3,12.74,1.5,2.4,2.4,0.3,1.75
11,Humid,Extremoz,P2,Rain,13-May,4:10:00 PM,May,2013,8723872,3883872,,258.1,5235.42,1.27,> 1 meq/L,,,,60.6,0.98,16.13,573,7.2,,,30.5,11.51,1.2,3,4,1.6,0.84
12,Humid,Extremoz,P2,Rain,13-Jun,9:38:00 AM,June,2013,10950000,2226128,,302.8,6757.52,0.94,< 1 meq/L,13.19,9.85,0.75,15,0.8,53.62,499,7,,,27.5,9.36,1.75,,4.5,0.5,1.09
13,Humid,Extremoz,P2,Rain,13-Jul,10:20:00 AM,July,2013,11019525,69525,,289.2,,,< 1 meq/L,,,0.9,35.33,0.61,17.28,427,6.4,,,26.1,11.7,2,4,4,-0.5,1.4
1,Humid,Bonfim,P1,Rain,14-Sep,9:10:00 AM,September,2014,54360000,-200000,,171.8,2584.86,0.03,< 1 meq/L,,,,,0.88,,1.34,5.91,133.2,10.44,27.17,0.23,5.23,8,8,-0.8,1
2,Humid,Bonfim,P1,Dry,14-Oct,9:10:00 AM,October,2014,53910000,-450000,,42,2732.66,0.08,< 1 meq/L,,,,,0.11,34355.83,1,6.29,118.9,9.31,27.31,0.33,4.5,7,7,-1,1
3,Humid,Bonfim,P1,Dry,14-Nov,8:15:00 AM,November,2014,52100000,-1810000,,31,25520.98,0.37,< 1 meq/L,,,,8.18,0.15,18.32,1.22,5.98,179.9,13.96,27.88,0.8,5,9.5,9.5,2.5,1
4,Humid,Bonfim,P1,Dry,14-Dec,10:00:00 AM,December,2014,50910000,-1190000,,23,21885.63,0.11,< 1 meq/L,,,,7.01,0.14,20.52,1119,5.52,69.2,5.36,27.98,0.26,5.91,9.47,9.47,-0.03,1
5,Humid,Bonfim,P1,Dry,15-Jan,,January,2015,54140000,3230000,,39.8,,,< 1 meq/L,,,,,,,,,,,,,,,,,
6,Humid,Bonfim,P1,Rain,15-Feb,8:56:00 AM,February,2015,49490000,-4650000,,71.1,2900.49,0.21,< 1 meq/L,,,,15.19,0.13,8.46,1111,6.68,68.4,5.24,28.72,0.44,5.7,9,9,,1
7,Humid,Bonfim,P1,Rain,15-Mar,9:40:00 AM,March,2015,49250000,-240000,,239.8,23.91,0.14,< 1 meq/L,,,,81.81,0.12,1.53,1377,8.57,78.1,5.96,29.08,0.66,4.75,7.5,7.5,-1.5,1
8,Humid,Bonfim,P1,Rain,15-Apr,9:13:00 AM,April,2015,49940000,690000,,47,516.72,0.02,< 1 meq/L,,,,14.02,0.2,13.99,1581,6.41,72.5,5.53,29.14,0.38,4.5,7.2,7.2,-0.3,1
9,Humid,Bonfim,P1,Rain,15-May,9:00:00 AM,May,2015,49540000,-400000,,76.3,68096.83,0.1,< 1 meq/L,,,,,0.1,,1651,5,70.3,5.39,28.76,0.84,6.65,,20,12.8,931
10,Humid,Bonfim,P1,Rain,15-Jun,9:34:00 AM,June,2015,49490000,-50000,,242.1,3641.12,0.08,< 1 meq/L,,,,,0.14,,1134,6.17,57.8,4.52,27.31,0.47,4.6,11.5,18,-2,0.72
11,Humid,Bonfim,P1,Rain,15-Jul,9:06:00 AM,July,2015,51210000,1720000,,309.2,9392.73,0.09,< 1 meq/L,,,,,0.12,,1258,5.82,60.6,4.79,26.7,0.56,4.2,10.5,15.6,-2.4,0.75
12,Humid,Bonfim,P1,Dry,15-Aug,10:15:00 AM,August,2015,51330000,120000,,20.4,22071.32,0.11,< 1 meq/L,,,,,0.08,,1267,5.5,70.8,5.62,26.38,1.6,5,12.5,13.5,-2.1,1
13,Humid,Bonfim,P1,Dry,15-Sep,9:09:00 AM,September,2015,50790000,-540000,,20,1034.58,0.15,< 1 meq/L,,,,7.6,0.08,10.32,1602,6.98,68.7,5.39,27.17,1.08,7,17.5,17.8,4.3,1
14,Humid,Bonfim,P1,Dry,15-Oct,9:00:00 AM,October,2015,49780000,-1010000,,9.7,9589.26,0.1,< 1 meq/L,,,,8.18,0.14,16.7,1729,5.82,,,25.7,1.38,4.5,11.25,12.8,-5,0.98
1,Humid,Bonfim,P2,Rain,14-Sep,10:05:00 AM,September,2014,54360000,-200000,,171.8,2052.02,0.07,< 1 meq/L,,,,,0.15,,1,6.35,95,7.44,27.32,1.64,4.35,,11.8,-6.2,1
2,Humid,Bonfim,P2,Dry,14-Oct,9:22:00 AM,October,2014,53910000,-450000,,42,171.96,0.09,< 1 meq/L,,,,1.17,0.17,146.06,1,7.53,110.6,8.64,27.4,0.27,3.5,8.75,11.5,-0.3,0.85
3,Humid,Bonfim,P2,Dry,14-Nov,8:36:00 AM,November,2014,52100000,-1810000,,31,3694.77,0.09,< 1 meq/L,,,,7.01,0.17,23.73,1.36,6.2,177.1,13.74,27.9,0.61,5.8,11.8,11.8,0.3,1
4,Humid,Bonfim,P2,Dry,14-Dec,10:28:00 AM,December,2014,50910000,-1190000,,23,44814.03,0.13,< 1 meq/L,,,,2.34,0.13,54.25,1367,5.29,61,4.72,28.11,0.59,4.81,,12.25,0.45,1
5,Humid,Bonfim,P2,Dry,15-Jan,,January,2015,54140000,3230000,,39.8,,,< 1 meq/L,,,,,,,,,,,,,,,,,
6,Humid,Bonfim,P2,Rain,15-Feb,9:45:00 AM,February,2015,49490000,-4650000,,71.1,4151.41,0.13,< 1 meq/L,,,,8.18,0.12,14.93,0.98,6.33,70.3,5.36,29.02,0.38,3.5,8.75,11,,0.89
7,Humid,Bonfim,P2,Rain,15-Mar,10:16:00 AM,March,2015,49250000,-240000,,239.8,1307.01,0.08,< 1 meq/L,,,,11.69,0.12,10.39,1303,6.6,67.9,5.17,29.11,0.19,4.75,11.2,11.2,0.2,1
8,Humid,Bonfim,P2,Rain,15-Apr,9:43:00 AM,April,2015,49940000,690000,,47,4242.92,0.08,< 1 meq/L,,,,12.86,0.12,9.39,1343,6.1,74.2,5.63,29.43,0.56,3.72,9.3,11.3,0.1,0.92
9,Humid,Bonfim,P2,Rain,15-May,10:00:00 AM,May,2015,49540000,-400000,,76.3,1270.62,0.09,< 1 meq/L,,,,,0.12,,1296,6.69,76.5,5.85,28.85,0.28,5.7,14.25,15.5,4.2,1
10,Humid,Bonfim,P2,Rain,15-Jun,10:34:00 AM,June,2015,49490000,-50000,,242.1,6513.48,0.12,< 1 meq/L,,,,,0.09,,1123,6.08,60.1,4.72,27.09,0.56,4,10,17.7,2.2,0.63
11,Humid,Bonfim,P2,Rain,15-Jul,9:47:00 AM,July,2015,51210000,1720000,,309.2,,,< 1 meq/L,,,,,0.09,,1227,5.42,88.1,6.95,26.78,1.03,4.6,11.5,16,-1.7,805
12,Humid,Bonfim,P2,Dry,15-Aug,10:15:00 AM,August,2015,51330000,120000,,20.4,16826.47,0.11,< 1 meq/L,,,,,0.06,,1483,5.63,74.8,5.93,26.52,1.4,5,12.5,13.5,-2.5,1
13,Humid,Bonfim,P2,Dry,15-Sep,9:50:00 AM,September,2015,50790000,-540000,,20,1730.75,0.15,< 1 meq/L,,,,5.84,0.08,14.08,1.5,6.76,83.4,6.53,27.25,1.25,3,7.5,12.5,-1,672
14,Humid,Bonfim,P2,Dry,15-Oct,9:30:00 AM,October,2015,49780000,-1010000,,9.7,16452.73,0.09,< 1 meq/L,,,,10.52,0.11,10.64,1653,5.55,,,25.6,1.25,4.4,11,11.3,-1.2,1
1,Humid,Bonfim,P3,Rain,14-Sep,10:40:00 AM,September,2014,54360000,-200000,,171.8,1177.95,0.07,< 1 meq/L,,,,,2,,1.32,6.61,93.4,7.35,27.03,0.82,3.8,9.5,17,2,0.63
2,Humid,Bonfim,P3,Dry,14-Oct,9:56:00 AM,October,2014,53910000,-450000,,42,8.59,0,< 1 meq/L,,,,2.34,0.2,83.77,1,7.37,108.7,8.51,27.27,0.21,3,7.5,17.5,0.5,0.48
3,Humid,Bonfim,P3,Dry,14-Nov,9:01:00 AM,November,2014,52100000,-1810000,,31,282.44,0.09,< 1 meq/L,,,,5.84,0.16,27.69,1,7.3,288,22.35,27.89,0.7,6,15,20,2.5,0.84
4,Humid,Bonfim,P3,Dry,14-Dec,10:58:00 AM,December,2014,50910000,-1190000,,23,3860.09,0.1,< 1 meq/L,,,,1.17,0.11,93.52,1235,6.23,57.5,4.43,28.4,0.13,5.78,14.45,18.7,-1.3,0.87
5,Humid,Bonfim,P3,Dry,15-Jan,,January,2015,54140000,3230000,,39.8,,,< 1 meq/L,,,,,,,1213,,,,,,,,,,
6,Humid,Bonfim,P3,Rain,15-Feb,10:35:00 AM,February,2015,49490000,-4650000,,71.1,6471.12,0.09,< 1 meq/L,,,,18.7,0.13,7.01,1497,5.98,62.6,4.8,28.73,0.13,3.7,9.25,17,,0.61
7,Humid,Bonfim,P3,Rain,15-Mar,10:45:00 AM,March,2015,49250000,-240000,,239.8,6923.26,0.18,< 1 meq/L,,,,58.43,0.13,2.18,1432,6.24,82.3,6.28,29.04,0.47,4.85,,16.45,-0.55,0.83
8,Humid,Bonfim,P3,Rain,15-Apr,10:21:00 AM,April,2015,49940000,690000,,47,227.21,0.03,< 1 meq/L,,,,15.19,0.15,10.18,1192,6.93,76.1,5.79,29.17,1.03,4.5,11.25,17.4,0.95,0.72
9,Humid,Bonfim,P3,Rain,15-May,10:25:00 AM,May,2015,49540000,-400000,,76.3,2474.35,0.09,< 1 meq/L,,,,,0.12,,1133,6.36,73.6,5.65,28.65,0.66,5.2,13,15,-2.4,0.97
10,Humid,Bonfim,P3,Rain,15-Jun,10:08:00 AM,June,2015,49490000,-50000,,242.1,4088.09,0.09,< 1 meq/L,,,,,0.11,,1379,6.16,63.2,4.94,27.34,0.38,4,10,13.8,-1.2,0.81
11,Humid,Bonfim,P3,Rain,15-Jul,10:22:00 AM,July,2015,51210000,1720000,,309.2,,,< 1 meq/L,,,,,0.12,,1651,5.11,102.7,8.12,26.63,0.8,5.3,13.25,16.8,3,0.88
12,Humid,Bonfim,P3,Dry,15-Aug,10:15:00 AM,August,2015,51330000,120000,,20.4,14008.67,0.1,< 1 meq/L,,,,,0.06,,1416,5.66,75,5.97,26.29,1.21,5,12.5,13.5,-3.3,1
13,Humid,Bonfim,P3,Dry,15-Sep,10:25:00 AM,September,2015,50790000,-540000,,20,933.63,0.08,< 1 meq/L,,,,9.35,0.07,7.48,1691,6.76,80.1,6.29,27.11,0.89,4,10,16.2,2.7,0.69
14,Humid,Bonfim,P3,Dry,15-Oct,10:07:00 AM,October,2015,49780000,-1010000,,9.7,9512.8,0.12,< 1 meq/L,,,,8.18,0.12,14.39,,5.9,,,26.7,1.13,4.65,,16.3,0.1,0.8
